id,function_id,base_field_label,rational_periodic_points,graph_id
124,118,1.1.1.1,"{{1,0}}",2
125,119,1.1.1.1,"{{1,0}}",2
126,119,1.1.1.1,"{{1,0}}",2
127,120,1.1.1.1,"{{0,1},{1,0}}",14
128,121,1.1.1.1,"{{-1,1},{1,0}}",14
129,121,1.1.1.1,"{{-1,1},{1,0}}",14
130,122,1.1.1.1,"{{1,0}}",2
131,122,1.1.1.1,"{{1,0}}",2
132,123,1.1.1.1,"{{1,0}}",2
133,123,1.1.1.1,"{{1,0}}",2
134,124,1.1.1.1,"{{0,1},{1,0}}",15
135,125,1.1.1.1,"{{1,0},{1,1}}",15
136,125,1.1.1.1,"{{1,0},{1,1}}",15
137,126,1.1.1.1,"{{1,0}}",2
138,126,1.1.1.1,"{{1,0}}",2
139,127,1.1.1.1,"{{1,0}}",2
140,127,1.1.1.1,"{{1,0}}",2
141,128,1.1.1.1,"{{0,1},{1,0}}",14
142,129,1.1.1.1,"{{1,0}}",2
143,129,1.1.1.1,"{{1,0}}",2
144,130,1.1.1.1,"{{-1,1},{1,0}}",14
145,130,1.1.1.1,"{{-1,1},{1,0}}",14
146,131,1.1.1.1,"{{1,0}}",2
147,131,1.1.1.1,"{{1,0}}",2
148,132,1.1.1.1,"{{0,1},{1,0}}",14
149,133,1.1.1.1,"{{1,0}}",2
150,133,1.1.1.1,"{{1,0}}",2
151,134,1.1.1.1,"{{1,0},{1,1}}",14
152,134,1.1.1.1,"{{1,0},{1,1}}",14
153,135,1.1.1.1,"{{1,0}}",2
154,135,1.1.1.1,"{{1,0}}",2
156,16,1.1.1.1,"{{1/2,1},{1,0}}",6
157,17,1.1.1.1,"{{1,0}}",2
158,4,1.1.1.1,"{{1,0}}",2
159,5,1.1.1.1,"{{1,0}}",2
160,117,1.1.1.1,"{{1,0}}",2
161,118,1.1.1.1,"{{1,0}}",2
162,119,1.1.1.1,"{{1,0}}",2
163,121,1.1.1.1,"{{-1,1},{1,0}}",14
164,122,1.1.1.1,"{{1,0}}",2
165,123,1.1.1.1,"{{1,0}}",2
166,125,1.1.1.1,"{{1,0},{1,1}}",15
167,126,1.1.1.1,"{{1,0}}",2
168,127,1.1.1.1,"{{1,0}}",2
169,129,1.1.1.1,"{{1,0}}",2
170,130,1.1.1.1,"{{-1,1},{1,0}}",14
171,131,1.1.1.1,"{{1,0}}",2
172,133,1.1.1.1,"{{1,0}}",2
173,134,1.1.1.1,"{{1,0},{1,1}}",14
174,135,1.1.1.1,"{{1,0}}",2
176,16,1.1.1.1,"{{1/2,1},{1,0}}",6
177,17,1.1.1.1,"{{1,0}}",2
178,4,1.1.1.1,"{{1,0}}",2
179,5,1.1.1.1,"{{1,0}}",2
180,117,1.1.1.1,"{{1,0}}",2
181,118,1.1.1.1,"{{1,0}}",2
182,119,1.1.1.1,"{{1,0}}",2
183,121,1.1.1.1,"{{-1,1},{1,0}}",14
184,122,1.1.1.1,"{{1,0}}",2
185,123,1.1.1.1,"{{1,0}}",2
186,125,1.1.1.1,"{{1,0},{1,1}}",15
187,126,1.1.1.1,"{{1,0}}",2
188,127,1.1.1.1,"{{1,0}}",2
189,129,1.1.1.1,"{{1,0}}",2
190,130,1.1.1.1,"{{-1,1},{1,0}}",14
191,131,1.1.1.1,"{{1,0}}",2
192,133,1.1.1.1,"{{1,0}}",2
193,134,1.1.1.1,"{{1,0},{1,1}}",14
194,135,1.1.1.1,"{{1,0}}",2
195,138,1.1.1.1,"{{1,0}}",2
196,138,1.1.1.1,"{{1,0}}",2
197,139,1.1.1.1,"{{1,0}}",2
198,139,1.1.1.1,"{{1,0}}",2
199,140,1.1.1.1,"{{-1,1},{1,0}}",14
200,140,1.1.1.1,"{{-1,1},{1,0}}",14
201,141,1.1.1.1,"{{0,1},{1,0},{-1,1}}",16
202,142,1.1.1.1,"{{1,0},{0,1}}",17
203,142,1.1.1.1,"{{1,0},{0,1}}",17
204,143,1.1.1.1,"{{1,0}}",2
205,143,1.1.1.1,"{{1,0}}",2
206,144,1.1.1.1,"{{-2,1},{1,0},{1,1}}",18
207,144,1.1.1.1,"{{-2,1},{1,0},{1,1}}",18
209,16,1.1.1.1,"{{1/2,1},{1,0}}",6
210,17,1.1.1.1,"{{1,0}}",2
211,4,1.1.1.1,"{{1,0}}",2
212,5,1.1.1.1,"{{1,0}}",2
213,117,1.1.1.1,"{{1,0}}",2
214,118,1.1.1.1,"{{1,0}}",2
215,119,1.1.1.1,"{{1,0}}",2
216,121,1.1.1.1,"{{-1,1},{1,0}}",14
217,122,1.1.1.1,"{{1,0}}",2
218,123,1.1.1.1,"{{1,0}}",2
219,125,1.1.1.1,"{{1,0},{1,1}}",15
220,126,1.1.1.1,"{{1,0}}",2
221,127,1.1.1.1,"{{1,0}}",2
222,129,1.1.1.1,"{{1,0}}",2
223,130,1.1.1.1,"{{-1,1},{1,0}}",14
