label,degree,defn_poly_coeffs,signature,conductor,discriminant,class_number
2.0.79.1,2,"{20,-1,1}","{0,1}",79,5,-79
2.2.328.1,2,"{-82,0,1}","{2,0}",328,4,328
2.0.328.1,2,"{82,0,1}","{0,1}",328,4,-328
2.2.332.1,2,"{-83,0,1}","{2,0}",332,1,332
2.0.83.1,2,"{21,-1,1}","{0,1}",83,3,-83
2.2.85.1,2,"{-21,-1,1}","{2,0}",85,2,85
2.0.340.1,2,"{85,0,1}","{0,1}",340,4,-340
2.2.344.1,2,"{-86,0,1}","{2,0}",344,1,344
2.0.344.1,2,"{86,0,1}","{0,1}",344,10,-344
2.2.348.1,2,"{-87,0,1}","{2,0}",348,2,348
2.0.87.1,2,"{22,-1,1}","{0,1}",87,6,-87
2.2.89.1,2,"{-22,-1,1}","{2,0}",89,1,89
2.0.356.1,2,"{89,0,1}","{0,1}",356,12,-356
2.2.364.1,2,"{-91,0,1}","{2,0}",364,2,364
2.0.91.1,2,"{23,-1,1}","{0,1}",91,2,-91
2.2.93.1,2,"{-23,-1,1}","{2,0}",93,1,93
2.0.372.1,2,"{93,0,1}","{0,1}",372,4,-372
2.2.376.1,2,"{-94,0,1}","{2,0}",376,1,376
2.0.376.1,2,"{94,0,1}","{0,1}",376,8,-376
2.2.380.1,2,"{-95,0,1}","{2,0}",380,2,380
2.0.95.1,2,"{24,-1,1}","{0,1}",95,8,-95
2.2.97.1,2,"{-24,-1,1}","{2,0}",97,1,97
2.0.388.1,2,"{97,0,1}","{0,1}",388,4,-388
2.2.101.1,2,"{-25,-1,1}","{2,0}",101,1,101
2.0.404.1,2,"{101,0,1}","{0,1}",404,14,-404
2.2.408.1,2,"{-102,0,1}","{2,0}",408,2,408
2.0.408.1,2,"{102,0,1}","{0,1}",408,4,-408
2.2.412.1,2,"{-103,0,1}","{2,0}",412,1,412
2.0.103.1,2,"{26,-1,1}","{0,1}",103,5,-103
2.2.105.1,2,"{-26,-1,1}","{2,0}",105,2,105
2.0.420.1,2,"{105,0,1}","{0,1}",420,8,-420
2.2.424.1,2,"{-106,0,1}","{2,0}",424,2,424
2.0.424.1,2,"{106,0,1}","{0,1}",424,6,-424
2.2.428.1,2,"{-107,0,1}","{2,0}",428,1,428
2.0.107.1,2,"{27,-1,1}","{0,1}",107,3,-107
2.2.109.1,2,"{-27,-1,1}","{2,0}",109,1,109
2.0.436.1,2,"{109,0,1}","{0,1}",436,6,-436
2.2.440.1,2,"{-110,0,1}","{2,0}",440,2,440
2.0.440.1,2,"{110,0,1}","{0,1}",440,12,-440
2.2.444.1,2,"{-111,0,1}","{2,0}",444,2,444
2.0.111.1,2,"{28,-1,1}","{0,1}",111,8,-111
2.2.113.1,2,"{-28,-1,1}","{2,0}",113,1,113
2.0.452.1,2,"{113,0,1}","{0,1}",452,8,-452
2.2.456.1,2,"{-114,0,1}","{2,0}",456,2,456
2.0.456.1,2,"{114,0,1}","{0,1}",456,8,-456
2.2.460.1,2,"{-115,0,1}","{2,0}",460,2,460
2.0.115.1,2,"{29,-1,1}","{0,1}",115,2,-115
2.2.472.1,2,"{-118,0,1}","{2,0}",472,1,472
2.0.472.1,2,"{118,0,1}","{0,1}",472,6,-472
2.2.476.1,2,"{-119,0,1}","{2,0}",476,2,476
2.0.119.1,2,"{30,-1,1}","{0,1}",119,10,-119
2.2.488.1,2,"{-122,0,1}","{2,0}",488,2,488
2.0.488.1,2,"{122,0,1}","{0,1}",488,10,-488
2.2.492.1,2,"{-123,0,1}","{2,0}",492,2,492
2.0.123.1,2,"{31,-1,1}","{0,1}",123,2,-123
2.2.508.1,2,"{-127,0,1}","{2,0}",508,1,508
2.0.127.1,2,"{32,-1,1}","{0,1}",127,5,-127
2.2.129.1,2,"{-32,-1,1}","{2,0}",129,1,129
2.0.516.1,2,"{129,0,1}","{0,1}",516,12,-516
2.2.520.1,2,"{-130,0,1}","{2,0}",520,4,520
2.0.520.1,2,"{130,0,1}","{0,1}",520,4,-520
2.2.524.1,2,"{-131,0,1}","{2,0}",524,1,524
2.0.131.1,2,"{33,-1,1}","{0,1}",131,5,-131
2.2.133.1,2,"{-33,-1,1}","{2,0}",133,1,133
2.0.532.1,2,"{133,0,1}","{0,1}",532,4,-532
2.2.536.1,2,"{-134,0,1}","{2,0}",536,1,536
2.0.536.1,2,"{134,0,1}","{0,1}",536,14,-536
2.2.137.1,2,"{-34,-1,1}","{2,0}",137,1,137
2.0.548.1,2,"{137,0,1}","{0,1}",548,8,-548
2.2.552.1,2,"{-138,0,1}","{2,0}",552,2,552
2.0.552.1,2,"{138,0,1}","{0,1}",552,8,-552
2.2.556.1,2,"{-139,0,1}","{2,0}",556,1,556
2.0.139.1,2,"{35,-1,1}","{0,1}",139,3,-139
2.2.141.1,2,"{-35,-1,1}","{2,0}",141,1,141
2.0.564.1,2,"{141,0,1}","{0,1}",564,8,-564
2.2.568.1,2,"{-142,0,1}","{2,0}",568,3,568
2.0.568.1,2,"{142,0,1}","{0,1}",568,4,-568
2.2.572.1,2,"{-143,0,1}","{2,0}",572,2,572
2.0.143.1,2,"{36,-1,1}","{0,1}",143,10,-143
2.2.145.1,2,"{-36,-1,1}","{2,0}",145,4,145
2.0.580.1,2,"{145,0,1}","{0,1}",580,8,-580
2.2.584.1,2,"{-146,0,1}","{2,0}",584,2,584
2.0.584.1,2,"{146,0,1}","{0,1}",584,16,-584
2.2.149.1,2,"{-37,-1,1}","{2,0}",149,1,149
2.0.596.1,2,"{149,0,1}","{0,1}",596,14,-596
2.2.604.1,2,"{-151,0,1}","{2,0}",604,1,604
2.0.151.1,2,"{38,-1,1}","{0,1}",151,7,-151
2.2.616.1,2,"{-154,0,1}","{2,0}",616,2,616
2.0.616.1,2,"{154,0,1}","{0,1}",616,8,-616
2.2.620.1,2,"{-155,0,1}","{2,0}",620,2,620
2.0.155.1,2,"{39,-1,1}","{0,1}",155,4,-155
2.2.157.1,2,"{-39,-1,1}","{2,0}",157,1,157
2.0.628.1,2,"{157,0,1}","{0,1}",628,6,-628
2.2.632.1,2,"{-158,0,1}","{2,0}",632,1,632
2.0.632.1,2,"{158,0,1}","{0,1}",632,8,-632
2.2.636.1,2,"{-159,0,1}","{2,0}",636,2,636
2.0.159.1,2,"{40,-1,1}","{0,1}",159,10,-159
2.2.161.1,2,"{-40,-1,1}","{2,0}",161,1,161
2.0.644.1,2,"{161,0,1}","{0,1}",644,16,-644
2.2.652.1,2,"{-163,0,1}","{2,0}",652,1,652
2.0.163.1,2,"{41,-1,1}","{0,1}",163,1,-163
2.2.165.1,2,"{-41,-1,1}","{2,0}",165,2,165
2.0.660.1,2,"{165,0,1}","{0,1}",660,8,-660
2.2.664.1,2,"{-166,0,1}","{2,0}",664,1,664
2.0.664.1,2,"{166,0,1}","{0,1}",664,10,-664
2.2.668.1,2,"{-167,0,1}","{2,0}",668,1,668
2.0.167.1,2,"{42,-1,1}","{0,1}",167,11,-167
2.2.680.1,2,"{-170,0,1}","{2,0}",680,4,680
2.0.680.1,2,"{170,0,1}","{0,1}",680,12,-680
2.2.173.1,2,"{-43,-1,1}","{2,0}",173,1,173
2.0.692.1,2,"{173,0,1}","{0,1}",692,14,-692
2.2.696.1,2,"{-174,0,1}","{2,0}",696,2,696
2.0.696.1,2,"{174,0,1}","{0,1}",696,12,-696
2.2.177.1,2,"{-44,-1,1}","{2,0}",177,1,177
2.0.708.1,2,"{177,0,1}","{0,1}",708,4,-708
2.2.712.1,2,"{-178,0,1}","{2,0}",712,2,712
2.0.712.1,2,"{178,0,1}","{0,1}",712,8,-712
2.2.716.1,2,"{-179,0,1}","{2,0}",716,1,716
2.0.179.1,2,"{45,-1,1}","{0,1}",179,5,-179
2.2.181.1,2,"{-45,-1,1}","{2,0}",181,1,181
2.0.724.1,2,"{181,0,1}","{0,1}",724,10,-724
2.2.728.1,2,"{-182,0,1}","{2,0}",728,2,728
2.0.728.1,2,"{182,0,1}","{0,1}",728,12,-728
2.2.732.1,2,"{-183,0,1}","{2,0}",732,2,732
2.0.183.1,2,"{46,-1,1}","{0,1}",183,8,-183
2.2.185.1,2,"{-46,-1,1}","{2,0}",185,2,185
2.0.740.1,2,"{185,0,1}","{0,1}",740,16,-740
2.2.744.1,2,"{-186,0,1}","{2,0}",744,2,744
2.0.744.1,2,"{186,0,1}","{0,1}",744,12,-744
2.2.748.1,2,"{-187,0,1}","{2,0}",748,2,748
2.0.187.1,2,"{47,-1,1}","{0,1}",187,2,-187
2.2.760.1,2,"{-190,0,1}","{2,0}",760,2,760
