label,degree,defn_poly_coeffs,signature,conductor,discriminant,class_number
3.1.1059.1,3,"{6,1,-1,1}","{1,1}",1,-1059,
3.1.516.1,3,"{-9,1,-1,1}","{1,1}",1,-516,
3.1.7331.1,3,"{-43,-22,0,1}","{1,1}",2,-7331,
3.1.472.1,3,"{-6,-5,0,1}","{1,1}",1,-472,
3.1.1363.1,3,"{-10,-9,-1,1}","{1,1}",1,-1363,
3.1.707.1,3,"{-5,2,0,1}","{1,1}",1,-707,
3.1.4963.1,3,"{-37,-20,0,1}","{1,1}",1,-4963,
3.1.3348.1,3,"{-4,9,0,1}","{1,1}",1,-3348,
3.1.2635.1,3,"{-4,9,-1,1}","{1,1}",1,-2635,
3.1.484.1,3,"{2,4,-1,1}","{1,1}",1,-484,
3.1.1172.1,3,"{11,5,-1,1}","{1,1}",1,-1172,
3.1.2619.1,3,"{-29,6,0,1}","{1,1}",2,-2619,
3.1.675.1,3,"{-5,0,0,1}","{1,1}",1,-675,
3.1.695.1,3,"{-5,0,-1,1}","{1,1}",1,-695,
3.1.835.1,3,"{6,-1,-1,1}","{1,1}",1,-835,
3.1.1955.1,3,"{-8,-5,-1,1}","{1,1}",1,-1955,
3.1.3175.1,3,"{17,-8,-1,1}","{1,1}",2,-3175,
3.1.4995.1,3,"{-21,-12,0,1}","{1,1}",1,-4995,
3.1.7535.1,3,"{-25,-16,-1,1}","{1,1}",1,-7535,
3.1.10915.1,3,"{50,-21,-1,1}","{1,1}",1,-10915,
3.1.15255.1,3,"{-59,-27,0,1}","{1,1}",1,-15255,
3.1.679.1,3,"{-5,1,0,1}","{1,1}",1,-679,
3.1.940.1,3,"{-6,-2,0,1}","{1,1}",1,-940,
3.1.1583.1,3,"{-7,-4,-1,1}","{1,1}",1,-1583,
3.1.4423.1,3,"{-19,-11,0,1}","{1,1}",2,-4423,
3.1.10135.1,3,"{47,-20,-1,1}","{1,1}",1,-10135,
3.1.3592.1,3,"{34,2,-1,1}","{1,1}",1,-3592,
3.1.543.1,3,"{-5,2,-1,1}","{1,1}",1,-543,
3.1.491.1,3,"{4,1,-1,1}","{1,1}",2,-491,
3.1.671.1,3,"{-5,-1,0,1}","{1,1}",1,-671,
3.1.1203.1,3,"{-6,-3,-1,1}","{1,1}",1,-1203,
3.1.2207.1,3,"{13,-6,-1,1}","{1,1}",1,-2207,
3.1.3803.1,3,"{-17,-10,0,1}","{1,1}",1,-3803,
3.1.9251.1,3,"{44,-19,-1,1}","{1,1}",2,-9251,
3.1.13343.1,3,"{-53,-25,0,1}","{1,1}",1,-13343,
3.1.524.1,3,"{-5,3,-1,1}","{1,1}",1,-524,
3.1.839.1,3,"{-5,-2,-1,1}","{1,1}",1,-839,
3.1.1708.1,3,"{11,-5,-1,1}","{1,1}",1,-1708,
3.1.3159.2,3,"{-15,-9,0,1}","{1,1}",1,-3159,
3.1.8287.1,3,"{41,-18,-1,1}","{1,1}",2,-8287,
3.1.1356.1,3,"{-15,3,-1,1}","{1,1}",3,-1356,
3.1.515.1,3,"{-4,-1,-1,1}","{1,1}",1,-515,
3.1.1231.1,3,"{9,-4,-1,1}","{1,1}",1,-1231,
3.1.2515.1,3,"{-13,-8,0,1}","{1,1}",1,-2515,
3.1.4487.1,3,"{-17,-12,-1,1}","{1,1}",1,-4487,
3.1.7267.1,3,"{38,-17,-1,1}","{1,1}",3,-7267,
3.1.439.1,3,"{5,-2,-1,1}","{1,1}",1,-439,
3.1.335.1,3,"{1,4,-1,1}","{1,1}",1,-335,
3.1.1895.1,3,"{-11,-7,0,1}","{1,1}",1,-1895,
3.1.3660.1,3,"{-15,-11,-1,1}","{1,1}",1,-3660,
3.1.6215.1,3,"{35,-16,-1,1}","{1,1}",1,-6215,
3.1.2420.1,3,"{-20,4,-1,1}","{1,1}",1,-2420,
3.1.2855.1,3,"{-13,-10,-1,1}","{1,1}",1,-2855,
3.1.5155.1,3,"{32,-15,-1,1}","{1,1}",1,-5155,
3.1.8343.1,3,"{-41,-21,0,1}","{1,1}",1,-8343,
3.1.2047.1,3,"{-5,7,0,1}","{1,1}",1,-2047,
3.1.823.1,3,"{-7,-5,0,1}","{1,1}",1,-823,
3.1.4111.1,3,"{29,-14,-1,1}","{1,1}",1,-4111,
3.1.6988.1,3,"{-38,-20,0,1}","{1,1}",1,-6988,
3.1.2723.1,3,"{-5,8,0,1}","{1,1}",1,-2723,
3.1.419.1,3,"{-5,-4,0,1}","{1,1}",1,-419,
3.1.1407.1,3,"{-9,-8,-1,1}","{1,1}",1,-1407,
3.1.3107.1,3,"{26,-13,-1,1}","{1,1}",1,-3107,
3.1.5639.1,3,"{-35,-19,0,1}","{1,1}",1,-5639,
3.1.3591.1,3,"{-5,9,0,1}","{1,1}",1,-3591,
3.1.812.1,3,"{-7,-7,-1,1}","{1,1}",1,-812,
3.1.2167.1,3,"{23,-12,-1,1}","{1,1}",1,-2167,
3.1.1080.1,3,"{-6,3,0,1}","{1,1}",1,-1080,
3.1.972.2,3,"{-6,0,0,1}","{1,1}",1,-972,
3.1.996.1,3,"{-6,0,-1,1}","{1,1}",1,-996,
3.1.1164.1,3,"{7,-1,-1,1}","{1,1}",1,-1164,
3.1.1620.1,3,"{-8,-3,0,1}","{1,1}",3,-1620,
3.1.2508.1,3,"{-9,-5,-1,1}","{1,1}",1,-2508,
3.1.3972.1,3,"{18,-8,-1,1}","{1,1}",1,-3972,
3.1.6156.1,3,"{-22,-12,0,1}","{1,1}",3,-6156,
3.1.9204.1,3,"{-26,-16,-1,1}","{1,1}",1,-9204,
3.1.13260.1,3,"{51,-21,-1,1}","{1,1}",1,-13260,
3.1.18468.1,3,"{-60,-27,0,1}","{1,1}",1,-18468,
3.1.948.1,3,"{6,0,-1,1}","{1,1}",1,-948,
3.1.1291.1,3,"{-7,-2,0,1}","{1,1}",1,-1291,
3.1.8403.1,3,"{-24,-15,-1,1}","{1,1}",7,-8403,
3.1.771.1,3,"{-6,3,-1,1}","{1,1}",1,-771,
3.1.17419.1,3,"{-57,-26,0,1}","{1,1}",1,-17419,
3.1.1004.1,3,"{-6,2,0,1}","{1,1}",1,-1004,
3.1.808.1,3,"{-6,2,-1,1}","{1,1}",1,-808,
3.1.1612.1,3,"{-7,-3,-1,1}","{1,1}",1,-1612,
3.1.2824.1,3,"{14,-6,-1,1}","{1,1}",2,-2824,
3.1.4748.1,3,"{-18,-10,0,1}","{1,1}",6,-4748,
3.1.7528.1,3,"{-22,-14,-1,1}","{1,1}",2,-7528,
3.1.11308.1,3,"{45,-19,-1,1}","{1,1}",1,-11308,
3.1.16232.1,3,"{-54,-25,0,1}","{1,1}",1,-16232,
3.1.1176.1,3,"{-6,-2,-1,1}","{1,1}",3,-1176,
3.1.2235.1,3,"{12,-5,-1,1}","{1,1}",1,-2235,
3.1.999.1,3,"{-12,3,0,1}","{1,1}",1,-999,
3.1.6603.1,3,"{-20,-13,-1,1}","{1,1}",2,-6603,
3.1.10200.1,3,"{42,-18,-1,1}","{1,1}",1,-10200,
3.1.14931.1,3,"{-51,-24,0,1}","{1,1}",1,-14931,
3.1.1228.2,3,"{-6,4,0,1}","{1,1}",3,-1228,
3.1.804.1,3,"{-6,4,-1,1}","{1,1}",1,-804,
3.1.780.1,3,"{-5,-1,-1,1}","{1,1}",1,-780,
3.1.1668.1,3,"{10,-4,-1,1}","{1,1}",1,-1668,
3.1.3244.1,3,"{-14,-8,0,1}","{1,1}",1,-3244,
3.1.628.1,3,"{8,4,-1,1}","{1,1}",1,-628,
3.1.13540.1,3,"{-48,-23,0,1}","{1,1}",1,-13540,
3.1.931.1,3,"{-6,5,-1,1}","{1,1}",3,-931,
3.1.1147.1,3,"{8,-3,-1,1}","{1,1}",1,-1147,
3.1.2516.1,3,"{-12,-7,0,1}","{1,1}",1,-2516,
3.1.4699.1,3,"{-16,-11,-1,1}","{1,1}",1,-4699,
3.1.1960.1,3,"{15,5,-1,1}","{1,1}",3,-1960,
3.1.12083.1,3,"{-45,-22,0,1}","{1,1}",4,-12083,
3.1.588.1,3,"{1,5,-1,1}","{1,1}",3,-588,
3.1.696.1,3,"{6,-2,-1,1}","{1,1}",1,-696,
3.1.1836.2,3,"{-10,-6,0,1}","{1,1}",3,-1836,
3.1.3768.1,3,"{-14,-10,-1,1}","{1,1}",7,-3768,
3.1.6636.1,3,"{33,-15,-1,1}","{1,1}",1,-6636,
3.1.10584.1,3,"{-42,-21,0,1}","{1,1}",3,-10584,
3.1.2344.1,3,"{-6,7,0,1}","{1,1}",1,-2344,
3.1.5448.1,3,"{30,-14,-1,1}","{1,1}",8,-5448,
3.1.9067.1,3,"{-39,-20,0,1}","{1,1}",1,-9067,
3.1.3020.1,3,"{-6,8,0,1}","{1,1}",3,-3020,
3.1.716.1,3,"{-6,-4,0,1}","{1,1}",1,-716,
3.1.2068.1,3,"{-10,-8,-1,1}","{1,1}",4,-2068,
3.1.4300.1,3,"{27,-13,-1,1}","{1,1}",3,-4300,
3.1.7556.1,3,"{-36,-19,0,1}","{1,1}",1,-7556,
3.1.2859.1,3,"{-6,9,-1,1}","{1,1}",2,-2859,
3.1.1347.1,3,"{-8,-7,-1,1}","{1,1}",1,-1347,
3.1.1323.1,3,"{-7,0,0,1}","{1,1}",3,-1323,
3.1.1351.1,3,"{-7,0,-1,1}","{1,1}",1,-1351,
3.1.1547.1,3,"{8,-1,-1,1}","{1,1}",1,-1547,
3.1.3115.1,3,"{-10,-5,-1,1}","{1,1}",1,-3115,
3.1.4823.1,3,"{19,-8,-1,1}","{1,1}",1,-4823,
3.1.7371.1,3,"{-23,-12,0,1}","{1,1}",1,-7371,
3.1.10927.1,3,"{-27,-16,-1,1}","{1,1}",3,-10927,
3.1.15659.1,3,"{52,-21,-1,1}","{1,1}",1,-15659,
3.1.21735.1,3,"{-61,-27,0,1}","{1,1}",1,-21735,
3.1.1327.1,3,"{-7,1,0,1}","{1,1}",1,-1327,
3.1.1228.3,3,"{-7,1,-1,1}","{1,1}",3,-1228,
3.1.1295.1,3,"{7,0,-1,1}","{1,1}",1,-1295,
3.1.2599.1,3,"{-9,-4,-1,1}","{1,1}",1,-2599,
3.1.4172.1,3,"{17,-7,-1,1}","{1,1}",1,-4172,
3.1.6583.1,3,"{-21,-11,0,1}","{1,1}",3,-6583,
3.1.14591.1,3,"{49,-20,-1,1}","{1,1}",2,-14591,
3.1.20524.1,3,"{-58,-26,0,1}","{1,1}",2,-20524,
3.1.1355.1,3,"{-7,2,0,1}","{1,1}",1,-1355,
3.1.1319.1,3,"{-7,-1,0,1}","{1,1}",1,-1319,
3.1.2075.2,3,"{-8,-3,-1,1}","{1,1}",3,-2075,
3.1.3495.1,3,"{15,-6,-1,1}","{1,1}",1,-3495,
3.1.5747.1,3,"{-19,-10,0,1}","{1,1}",1,-5747,
3.1.8999.1,3,"{-23,-14,-1,1}","{1,1}",1,-8999,
3.1.1491.1,3,"{12,6,-1,1}","{1,1}",1,-1491,
3.1.19175.1,3,"{-55,-25,0,1}","{1,1}",1,-19175,
3.1.1431.1,3,"{-7,3,0,1}","{1,1}",1,-1431,
3.1.863.1,3,"{5,2,-1,1}","{1,1}",1,-863,
3.1.1567.1,3,"{-7,-2,-1,1}","{1,1}",1,-1567,
3.1.7948.1,3,"{-21,-13,-1,1}","{1,1}",2,-7948,
3.1.4428.1,3,"{-38,6,0,1}","{1,1}",3,-4428,
3.1.1579.1,3,"{-7,4,0,1}","{1,1}",1,-1579,
3.1.1087.1,3,"{-7,4,-1,1}","{1,1}",1,-1087,
3.1.1099.1,3,"{-6,-1,-1,1}","{1,1}",2,-1099,
3.1.2159.1,3,"{11,-4,-1,1}","{1,1}",1,-2159,
3.1.4027.1,3,"{-15,-8,0,1}","{1,1}",3,-4027,
3.1.6871.1,3,"{-19,-12,-1,1}","{1,1}",1,-6871,
3.1.10859.1,3,"{40,-17,-1,1}","{1,1}",2,-10859,
3.1.16159.1,3,"{-49,-23,0,1}","{1,1}",1,-16159,
3.1.1823.1,3,"{-7,5,0,1}","{1,1}",2,-1823,
3.1.1196.1,3,"{-7,5,-1,1}","{1,1}",1,-1196,
3.1.3191.1,3,"{-13,-7,0,1}","{1,1}",1,-3191,
3.1.1448.1,3,"{-14,5,0,1}","{1,1}",1,-1448,
3.1.9519.1,3,"{37,-16,-1,1}","{1,1}",2,-9519,
3.1.14540.1,3,"{-46,-22,0,1}","{1,1}",1,-14540,
3.1.1423.1,3,"{-7,6,-1,1}","{1,1}",2,-1423,
3.1.755.1,3,"{2,5,-1,1}","{1,1}",1,-755,
3.1.1007.1,3,"{7,-2,-1,1}","{1,1}",1,-1007,
3.1.2403.1,3,"{-11,-6,0,1}","{1,1}",1,-2403,
3.1.4735.1,3,"{-15,-10,-1,1}","{1,1}",1,-4735,
3.1.8171.1,3,"{34,-15,-1,1}","{1,1}",1,-8171,
3.1.2695.1,3,"{-7,7,0,1}","{1,1}",3,-2695,
3.1.959.1,3,"{1,6,-1,1}","{1,1}",1,-959,
3.1.1687.1,3,"{-9,-5,0,1}","{1,1}",1,-1687,
3.1.3724.1,3,"{-13,-9,-1,1}","{1,1}",3,-3724,
3.1.6839.1,3,"{31,-14,-1,1}","{1,1}",1,-6839,
3.1.3371.1,3,"{-7,8,0,1}","{1,1}",1,-3371,
3.1.1067.1,3,"{-7,-4,0,1}","{1,1}",1,-1067,
3.1.9527.1,3,"{-37,-19,0,1}","{1,1}",2,-9527,
3.1.4239.1,3,"{-7,9,0,1}","{1,1}",1,-4239,
3.1.3052.1,3,"{-7,9,-1,1}","{1,1}",2,-3052,
3.1.4319.1,3,"{25,-12,-1,1}","{1,1}",2,-4319,
3.1.7884.1,3,"{-34,-18,0,1}","{1,1}",3,-7884,
3.1.648.1,3,"{-10,-3,0,1}","{1,1}",3,-648,
3.1.1432.1,3,"{-8,10,0,1}","{1,1}",1,-1432,
3.1.3176.1,3,"{-8,14,0,1}","{1,1}",1,-3176,
3.1.1732.1,3,"{-8,1,0,1}","{1,1}",2,-1732,
3.1.1619.1,3,"{-8,1,-1,1}","{1,1}",1,-1619,
3.1.2155.1,3,"{-9,-2,0,1}","{1,1}",1,-2155,
3.1.3188.1,3,"{-10,-4,-1,1}","{1,1}",2,-3188,
3.1.4987.1,3,"{18,-7,-1,1}","{1,1}",1,-4987,
3.1.11651.1,3,"{-26,-15,-1,1}","{1,1}",3,-11651,
3.1.23683.1,3,"{-59,-26,0,1}","{1,1}",9,-23683,
3.1.431.1,3,"{-8,-1,0,1}","{1,1}",1,-431,
3.1.1055.1,3,"{16,-6,-1,1}","{1,1}",1,-1055,
3.1.1700.1,3,"{-8,12,-1,1}","{1,1}",1,-1700,
3.1.2631.1,3,"{-8,14,-1,1}","{1,1}",1,-2631,
3.1.3896.1,3,"{-8,16,-1,1}","{1,1}",3,-3896,
3.1.5543.1,3,"{-8,18,-1,1}","{1,1}",1,-5543,
3.1.1427.1,3,"{-8,3,-1,1}","{1,1}",1,-1427,
3.1.1192.1,3,"{6,2,-1,1}","{1,1}",2,-1192,
3.1.503.1,3,"{8,2,-1,1}","{1,1}",1,-503,
3.1.3451.1,3,"{14,-5,-1,1}","{1,1}",1,-3451,
3.1.9347.1,3,"{-22,-13,-1,1}","{1,1}",1,-9347,
3.1.3547.1,3,"{-36,7,-1,1}","{1,1}",1,-3547,
3.1.20547.1,3,"{-53,-24,0,1}","{1,1}",3,-20547,
3.1.2036.1,3,"{-5,13,-1,1}","{1,1}",1,-2036,
3.1.4708.1,3,"{-9,17,-1,1}","{1,1}",1,-4708,
3.1.2228.1,3,"{-8,5,0,1}","{1,1}",1,-2228,
3.1.1515.1,3,"{-8,5,-1,1}","{1,1}",1,-1515,
3.1.2003.1,3,"{10,-3,-1,1}","{1,1}",1,-2003,
3.1.980.1,3,"{-13,5,-1,1}","{1,1}",3,-980,
3.1.11252.1,3,"{38,-16,-1,1}","{1,1}",2,-11252,
3.1.1439.1,3,"{-4,11,0,1}","{1,1}",1,-1439,
3.1.2440.1,3,"{-6,13,0,1}","{1,1}",1,-2440,
3.1.3807.1,3,"{-8,15,0,1}","{1,1}",3,-3807,
3.1.2075.3,3,"{-8,7,-1,1}","{1,1}",3,-2075,
3.1.1144.1,3,"{2,6,-1,1}","{1,1}",1,-1144,
3.1.2200.1,3,"{-10,-5,0,1}","{1,1}",1,-2200,
3.1.4619.1,3,"{-14,-9,-1,1}","{1,1}",1,-4619,
3.1.2071.1,3,"{-16,7,0,1}","{1,1}",1,-2071,
3.1.13387.1,3,"{-41,-20,0,1}","{1,1}",2,-13387,
3.1.888.1,3,"{3,9,-1,1}","{1,1}",1,-888,
3.1.2888.1,3,"{7,13,-1,1}","{1,1}",3,-2888,
3.1.3299.1,3,"{-8,9,-1,1}","{1,1}",3,-3299,
3.1.2579.1,3,"{-10,-7,-1,1}","{1,1}",1,-2579,
3.1.5476.1,3,"{26,-12,-1,1}","{1,1}",6,-5476,
3.1.2191.1,3,"{-9,1,0,1}","{1,1}",2,-2191,
3.1.2668.1,3,"{-10,-2,0,1}","{1,1}",1,-2668,
3.1.3831.1,3,"{-11,-4,-1,1}","{1,1}",1,-3831,
3.1.1464.1,3,"{19,-7,-1,1}","{1,1}",1,-1464,
3.1.1484.1,3,"{-12,8,0,1}","{1,1}",1,-1484,
3.1.19263.1,3,"{51,-20,-1,1}","{1,1}",4,-19263,
3.1.2219.1,3,"{-9,2,0,1}","{1,1}",2,-2219,
3.1.1927.1,3,"{-9,2,-1,1}","{1,1}",2,-1927,
3.1.1843.1,3,"{8,1,-1,1}","{1,1}",1,-1843,
3.1.2183.1,3,"{-9,-1,0,1}","{1,1}",2,-2183,
3.1.3163.1,3,"{-10,-3,-1,1}","{1,1}",4,-3163,
3.1.4999.1,3,"{17,-6,-1,1}","{1,1}",2,-4999,
3.1.7907.1,3,"{-21,-10,0,1}","{1,1}",5,-7907,
3.1.17803.1,3,"{48,-19,-1,1}","{1,1}",1,-17803,
3.1.25223.1,3,"{-57,-25,0,1}","{1,1}",8,-25223,
3.1.2443.1,3,"{-9,4,0,1}","{1,1}",2,-2443,
3.1.1815.1,3,"{-9,4,-1,1}","{1,1}",1,-1815,
3.1.1371.1,3,"{6,3,-1,1}","{1,1}",4,-1371,
3.1.5755.1,3,"{-17,-8,0,1}","{1,1}",2,-5755,
3.1.9471.1,3,"{-21,-12,-1,1}","{1,1}",1,-9471,
3.1.14667.1,3,"{42,-17,-1,1}","{1,1}",2,-14667,
3.1.21559.1,3,"{-51,-23,0,1}","{1,1}",1,-21559,
3.1.2687.1,3,"{-9,5,0,1}","{1,1}",2,-2687,
3.1.4703.1,3,"{-15,-7,0,1}","{1,1}",2,-4703,
3.1.8140.1,3,"{-19,-11,-1,1}","{1,1}",1,-8140,
3.1.13039.1,3,"{39,-16,-1,1}","{1,1}",1,-13039,
3.1.4904.1,3,"{-42,10,-1,1}","{1,1}",1,-4904,
3.1.3559.1,3,"{-9,7,0,1}","{1,1}",2,-3559,
3.1.1383.1,3,"{3,6,-1,1}","{1,1}",1,-1383,
3.1.2767.1,3,"{-11,-5,0,1}","{1,1}",2,-2767,
3.1.15628.1,3,"{-42,-20,0,1}","{1,1}",1,-15628,
3.1.2911.1,3,"{-9,8,-1,1}","{1,1}",2,-2911,
3.1.1675.1,3,"{2,7,-1,1}","{1,1}",1,-1675,
3.1.1931.1,3,"{-9,-4,0,1}","{1,1}",2,-1931,
3.1.8203.1,3,"{30,-13,-1,1}","{1,1}",2,-8203,
3.1.13631.1,3,"{-39,-19,0,1}","{1,1}",2,-13631,
